名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
银河花园二期,龙泉驿大面,银河路179号,11289,板楼/塔板结合,507户,4栋,商品房,2007-2015年 ,1至1.2元/平米/月,暂无信息,四川省银河投资集团有限公司
嶺尚,龙泉驿大面,五星街27号,10370,塔楼,226户,2栋,商品房,2014-2016年 ,1.35元/平米/月,暂无信息, 陕西亿润经贸有限公司 
金科东方雅郡,龙泉驿大面,龙泉驿区经开区南二路2800号,13852,塔板结合,2574户,11栋,商品房/使用权/私产,2014-2021年 ,2.1至4元/平米/月,金科物业服务集团有限公司四川分公司,成都金科卓瑞房地产开发有限公司
首创万卷山,龙泉驿大面,青台山村五组首创万卷山,14930,板楼/塔板结合,4789户,25栋,商品房/使用权,2008-2017年 ,1.8至2元/平米/月,北京首万物业服务有限公司成都分公司,成都首创驿都置业有限公司
炜岸城三期,龙泉驿大面,驿都西路3666号,16632,塔楼/板楼/塔板结合,2166户,12栋,商品房/使用权/私产,2016-2018年 ,1.9至4.5元/平米/月,成都龙湖物业服务有限公司, 重庆桥达茂宸房地产开发有限公司
海亮彩悦府,龙泉驿大面,"驿都大道北海亮彩悦府, 至善南路100号",14349,塔楼/塔板结合,1803户,8栋,商品房/使用权/私产,2014-2018年 ,2.3至6元/平米/月,四川海亮物业服务有限公司,成都海亮东悦房地产开发有限公司
师大现代花园,龙泉驿大面,龙城大道9号,12781,塔楼/板楼,4928户,30栋,商品房/使用权,2008-2013年 ,1.2至3元/平米/月,成都众和为物业服务有限公司,四川省清凤现代房地产开发有限责任公司
悦龙山,龙泉驿大面,车城西五路99号,15663,塔楼/塔板结合,4301户,11栋,商品房/私产/新居工程房,-1-2020年 ,2至4元/平米/月,成都金茂物业管理有限公司,四川联森兴业有限公司
世茂城一期,龙泉驿大面,驿天鹅西湖南路6号,14504,板楼/塔板结合,2529户,12栋,商品房,2012-2017年 ,1.8元/平米/月,世茂天成物业服务集团有限公司成都分公司,成都世茂置业有限公司
百悦天鹅湖,龙泉驿大面,大面街道办事处金桉路1号百悦天鹅湖,18235,塔楼/塔板结合,3857户,28栋,商品房,2012-2019年 ,1.8至5元/平米/月,暂无信息,成都百城投资有限责任公司
四季映像,龙泉驿大面,青台山路333号,13377,塔板结合,4890户,14栋,商品房/使用权/私产,2012-2014年 ,1.6至3元/平米/月,成都合能物业管理有限公司,成都瑞兴合能房地产开发有限公司
华润国际社区,龙泉驿大面,"成龙大道二段与金枫路交汇处, 金枫路66号",15144,塔楼/板楼/塔板结合,2524户,7栋,商品房/使用权/私产/共有产权房,2016-2018年 ,2.4至5.5元/平米/月,华润物业管理公司成都分公司,成都华润置地驿都房地产有限公司
世茂城三期,龙泉驿大面,金茶路世茂城三期,18166,塔楼/板楼/塔板结合,4929户,30栋,商品房/使用权,2015-2023年 ,2.3至5元/平米/月,成都世茂物业管理有限公司,成都世茂房地产开发有限公司
恒大绿洲,龙泉驿大面,银河路118号,14177,板楼/塔板结合/平房,3977户,59栋,商品房/使用权,2009-2015年 ,1.5至1.8元/平米/月,暂无信息,恒大地产集团成都有限公司
百悦城四期,龙泉驿大面,新建路118号,14463,塔楼,1449户,3栋,商品房,2014-2020年 ,2.18元/平米/月,暂无信息,成都坤盛置业有限公司
卓锦万黛,龙泉驿大面,成龙大道二段（川师成龙校区旁）,15576,塔板结合,3857户,19栋,商品房/使用权,2015-2021年 ,2.13至3.5元/平米/月,暂无信息,成都盛泉置业有限公司
世茂城二期,龙泉驿大面,天鹅西湖南路33号,20129,塔楼/板楼/塔板结合,2596户,32栋,商品房/使用权/私产,2003-2020年 ,1.8至3.6元/平米/月,成都世茂物业管理有限公司,成都世茂置业有限公司
泰华锦城,龙泉驿大面,大面镇西干道青台山路（龙城一号8号门对面）,11547,塔楼/板楼/塔板结合,3413户,11栋,商品房,2008-2022年 ,1.5至1.9元/平米/月,成都朋诚物业管理有限公司,成都市龙泉驿区国有资产投资有限公司
卧龙谷玖号,龙泉驿大面,大面镇街道公园大道以西（天鹅湖公园旁）,22255,塔楼/板楼/塔板结合,896户,29栋,商品房,2020-2024年 ,5元/平米/月,成都万科物业有限公司,成都锦乐置业有限公司
